Entreprise;Pays;Code;Latitude;Longitude;Valeur
Accor;PAYS-BAS;NL;52.13263;5.29127;4
Accor;ROYAUME-UNI;GB;55.37805;-3.43597;5
Accor;SUISSE;CH;46.81819;8.22751;2
Air-Liquide;BRUNEI;BN;4.53528;114.72767;1
Air-Liquide;LUXEMBOURG;LU;49.81527;6.12958;2
Air-Liquide;OMAN;OM;21.51258;55.92325;1
Air-Liquide;Polynésie-française;PF;-17.67974;-149.40684;1
Air-Liquide;ROYAUME-UNI;GB;55.37805;-3.43597;2
Air-Liquide;SINGAPOUR;SG;1.35208;103.81984;3
Air-Liquide;SUISSE;CH;46.81819;8.22751;2
Alcaltel-Lucent;IRLANDE;IE;53.41291;-8.24389;1
Alcaltel-Lucent;LUXEMBOURG;LU;49.81527;6.12958;1
Alcaltel-Lucent;PAYS-BAS;NL;52.13263;5.29127;2
Alcaltel-Lucent;ROYAUME-UNI;GB;55.37805;-3.43597;1
Alstom;ROYAUME-UNI;GB;55.37805;-3.43597;3
Alstom;SUISSE;CH;46.81819;8.22751;3
Arcelor-Mittal;LUXEMBOURG;LU;49.81527;6.12958;1
Auchan;LUXEMBOURG;LU;49.81527;6.12958;3
Axa;HONG-KONG;HK;22.39643;114.10950;3
Axa;IRLANDE;IE;53.41291;-8.24389;2
Axa;LUXEMBOURG;LU;49.81527;6.12958;3
Axa;PAYS-BAS;NL;52.13263;5.29127;1
Axa;ROYAUME-UNI;GB;55.37805;-3.43597;11
Axa;SINGAPOUR;SG;1.35208;103.81984;3
Axa;SUISSE;CH;46.81819;8.22751;5
Banque-postale;LUXEMBOURG;LU;49.81527;6.12958;1
Banques-Populaires;HONG-KONG;HK;22.39643;114.10950;4
Banques-Populaires;ILES-CAIMAN;KY;19.31330;-81.25460;1
Banques-Populaires;IRLANDE;IE;53.41291;-8.24389;5
Banques-Populaires;JERSEY;JE;49.21444;-2.13125;4
Banques-Populaires;LUXEMBOURG;LU;49.81527;6.12958;24
Banques-Populaires;MALTE;MT;35.93750;14.37542;2
Banques-Populaires;PANAMA;PA;8.53798;-80.78213;2
Banques-Populaires;PAYS-BAS;NL;52.13263;5.29127;5
Banques-Populaires;ROYAUME-UNI;GB;55.37805;-3.43597;15
Banques-Populaires;SUISSE;CH;46.81819;8.22751;16
Banques-Populaires;VANUATU;VU;-15.37671;166.95916;2
BNP-Paribas;CHYPRE;CY;35.12641;33.42986;2
BNP-Paribas;GUERNESEY;GG;49.46569;-2.58528;1
BNP-Paribas;HONG-KONG;HK;22.39643;114.10950;12
BNP-Paribas;ILES-CAIMAN;KY;19.31330;-81.25460;21
BNP-Paribas;IRLANDE;IE;53.41291;-8.24389;16
BNP-Paribas;JERSEY;JE;49.21444;-2.13125;3
BNP-Paribas;LUXEMBOURG;LU;49.81527;6.12958;27
BNP-Paribas;PAYS-BAS;NL;52.13263;5.29127;19
BNP-Paribas;ROYAUME-UNI;GB;55.37805;-3.43597;77
BNP-Paribas;SINGAPOUR;SG;1.35208;103.81984;4
BNP-Paribas;SUISSE;CH;46.81819;8.22751;7
Bouygues;CHYPRE;CY;35.12641;33.42986;1
Bouygues;LUXEMBOURG;LU;49.81527;6.12958;2
Bouygues;PAYS-BAS;NL;52.13263;5.29127;1
Bouygues;ROYAUME-UNI;GB;55.37805;-3.43597;6
Bouygues;SINGAPOUR;SG;1.35208;103.81984;1
Bouygues;SUISSE;CH;46.81819;8.22751;7
Capgemini;HONG-KONG;HK;22.39643;114.10950;1
Capgemini;IRLANDE;IE;53.41291;-8.24389;1
Capgemini;LUXEMBOURG;LU;49.81527;6.12958;3
Capgemini;PAYS-BAS;NL;52.13263;5.29127;11
Capgemini;ROYAUME-UNI;GB;55.37805;-3.43597;9
Capgemini;SINGAPOUR;SG;1.35208;103.81984;3
Capgemini;SUISSE;CH;46.81819;8.22751;3
Carrefour;HONG-KONG;HK;22.39643;114.10950;4
Carrefour;IRLANDE;IE;53.41291;-8.24389;1
Carrefour;MONACO;MC;43.73842;7.42462;1
Carrefour;PAYS-BAS;NL;52.13263;5.29127;18
Carrefour;SINGAPOUR;SG;1.35208;103.81984;2
Carrefour;SUISSE;CH;46.81819;8.22751;6
Credit-agricole;BERMUDES;BM;32.30780;-64.75050;1
Credit-agricole;CHYPRE;CY;35.12641;33.42986;3
Credit-agricole;HONG-KONG;HK;22.39643;114.10950;7
Credit-agricole;ILES-CAIMAN;KY;19.31330;-81.25460;1
Credit-agricole;IRLANDE;IE;53.41291;-8.24389;12
Credit-agricole;LUXEMBOURG;LU;49.81527;6.12958;21
Credit-agricole;MONACO;MC;43.73842;7.42462;2
Credit-agricole;PAYS-BAS;NL;52.13263;5.29127;36
Credit-agricole;ROYAUME-UNI;GB;55.37805;-3.43597;23
Credit-agricole;SINGAPOUR;SG;1.35208;103.81984;3
Credit-agricole;SUISSE;CH;46.81819;8.22751;6
Danone;IRLANDE;IE;53.41291;-8.24389;7
Danone;LUXEMBOURG;LU;49.81527;6.12958;1
Danone;PAYS-BAS;NL;52.13263;5.29127;13
Danone;ROYAUME-UNI;GB;55.37805;-3.43597;7
Danone;SINGAPOUR;SG;1.35208;103.81984;16
Danone;SUISSE;CH;46.81819;8.22751;3
Dexia;IRLANDE;IE;53.41291;-8.24389;1
Dexia;LUXEMBOURG;LU;49.81527;6.12958;9
Dexia;PAYS-BAS;NL;52.13263;5.29127;3
Dexia;ROYAUME-UNI;GB;55.37805;-3.43597;2
EADS;HONG-KONG;HK;22.39643;114.10950;1
EADS;ILE-DE-MAN;IM;54.23709;-4.54800;2
EADS;ILES-CAIMAN;KY;19.31330;-81.25460;3
EADS;IRLANDE;IE;53.41291;-8.24389;19
EADS;LUXEMBOURG;LU;49.81527;6.12958;6
EADS;ROYAUME-UNI;GB;55.37805;-3.43597;13
EADS;SINGAPOUR;SG;1.35208;103.81984;2
EDF;PAYS-BAS;NL;52.13263;5.29127;3
EDF;ROYAUME-UNI;GB;55.37805;-3.43597;2
EDF;SUISSE;CH;46.81819;8.22751;3
Essilor;HONG-KONG;HK;22.39643;114.10950;2
Essilor;IRLANDE;IE;53.41291;-8.24389;5
Essilor;ROYAUME-UNI;GB;55.37805;-3.43597;6
Essilor;SINGAPOUR;SG;1.35208;103.81984;7
Essilor;SUISSE;CH;46.81819;8.22751;2
France-Telecom;BAHREIN;BH;26.4;50.33;1
France-Telecom;HONG-KONG;HK;22.39643;114.10950;3
France-Telecom;IRLANDE;IE;53.41291;-8.24389;1
France-Telecom;LIECHTENSTEIN;LI;47.16600;9.55537;1
France-Telecom;LUXEMBOURG;LU;49.81527;6.12958;3
France-Telecom;MAURICE;MU;-20.34840;57.55215;8
France-Telecom;PAYS-BAS;NL;52.13263;5.29127;6
France-Telecom;ROYAUME-UNI;GB;55.37805;-3.43597;31
France-Telecom;SINGAPOUR;SG;1.35208;103.81984;3
France-Telecom;SUISSE;CH;46.81819;8.22751;5
France-Telecom;VANUATU;VU;-15.37671;166.95916;1
GDF-Suez;LUXEMBOURG;LU;49.81527;6.12958;1
GDF-Suez;PAYS-BAS;NL;52.13263;5.29127;6
GDF-Suez;ROYAUME-UNI;GB;55.37805;-3.43597;1
GDF-Suez;SUISSE;CH;46.81819;8.22751;1
Lafarge;IRLANDE;IE;53.41291;-8.24389;1
Lafarge;LUXEMBOURG;LU;49.81527;6.12958;1
Lafarge;PAYS-BAS;NL;52.13263;5.29127;1
Lafarge;ROYAUME-UNI;GB;55.37805;-3.43597;5
Lafarge;SINGAPOUR;SG;1.35208;103.81984;1
Lafarge;SUISSE;CH;46.81819;8.22751;2
Lagardère;CHYPRE;CY;35.12641;33.42986;2
Lagardère;LUXEMBOURG;LU;49.81527;6.12958;1
Lagardère;MONACO;MC;43.73842;7.42462;4
Lagardère;ROYAUME-UNI;GB;55.37805;-3.43597;26
Lagardère;SUISSE;CH;46.81819;8.22751;12
LOreal;HONG-KONG;HK;22.39643;114.10950;3
LOreal;IRLANDE;IE;53.41291;-8.24389;1
LOreal;MONACO;MC;43.73842;7.42462;2
LOreal;PANAMA;PA;8.53798;-80.78213;1
LOreal;PAYS-BAS;NL;52.13263;5.29127;4
LOreal;ROYAUME-UNI;GB;55.37805;-3.43597;3
LOreal;SINGAPOUR;SG;1.35208;103.81984;2
LOreal;SUISSE;CH;46.81819;8.22751;6
LVMH;BAHREIN;BH;26.4;50.33;2
LVMH;BERMUDES;BM;32.30780;-64.75050;4
LVMH;CHYPRE;CY;35.12641;33.42986;3
LVMH;HONG-KONG;HK;22.39643;114.10950;33
LVMH;ILES-CAIMAN;KY;19.31330;-81.25460;1
LVMH;IRLANDE;IE;53.41291;-8.24389;6
LVMH;LUXEMBOURG;LU;49.81527;6.12958;5
LVMH;MACAO;MO;22.19874;113.54387;1
LVMH;MONACO;MC;43.73842;7.42462;5
LVMH;OMAN;OM;21.51258;55.92325;1
LVMH;ROYAUME-UNI;GB;55.37805;-3.43597;34
LVMH;SINGAPOUR;SG;1.35208;103.81984;19
LVMH;SUISSE;CH;46.81819;8.22751;16
Michelin;HONG-KONG;HK;22.39643;114.10950;4
Michelin;IRLANDE;IE;53.41291;-8.24389;3
Michelin;LUXEMBOURG;LU;49.81527;6.12958;1
Michelin;PAYS-BAS;NL;52.13263;5.29127;6
Michelin;ROYAUME-UNI;GB;55.37805;-3.43597;7
Michelin;SINGAPOUR;SG;1.35208;103.81984;3
Michelin;SUISSE;CH;46.81819;8.22751;3
Pernod;ANDORRE;AD;42.30;1.31;1
Pernod;IRLANDE;IE;53.41291;-8.24389;4
Pernod;MAURICE;MU;-20.34840;57.55215;1
Pernod;PAYS-BAS;NL;52.13263;5.29127;2
Pernod;SINGAPOUR;SG;1.35208;103.81984;1
Pernod;SUISSE;CH;46.81819;8.22751;3
Peugeot;HONG-KONG;HK;22.39643;114.10950;1
Peugeot;LUXEMBOURG;LU;49.81527;6.12958;4
Peugeot;PAYS-BAS;NL;52.13263;5.29127;7
Peugeot;ROYAUME-UNI;GB;55.37805;-3.43597;21
Peugeot;SUISSE;CH;46.81819;8.22751;6
PPR;IRLANDE;IE;53.41291;-8.24389;4
PPR;LUXEMBOURG;LU;49.81527;6.12958;7
PPR;MALTE;MT;35.93750;14.37542;3
PPR;MAURICE;MU;-20.34840;57.55215;5
PPR;MONACO;MC;43.73842;7.42462;4
PPR;PAYS-BAS;NL;52.13263;5.29127;11
PPR;ROYAUME-UNI;GB;55.37805;-3.43597;27
PPR;SINGAPOUR;SG;1.35208;103.81984;6
Renault;LUXEMBOURG;LU;49.81527;6.12958;2
Renault;PAYS-BAS;NL;52.13263;5.29127;3
Renault;ROYAUME-UNI;GB;55.37805;-3.43597;8
Renault;SUISSE;CH;46.81819;8.22751;3
Saint-Gobain;IRLANDE;IE;53.41291;-8.24389;1
Saint-Gobain;PAYS-BAS;NL;52.13263;5.29127;3
Saint-Gobain;ROYAUME-UNI;GB;55.37805;-3.43597;6
Saint-Gobain;SUISSE;CH;46.81819;8.22751;1
Sanofi-Aventis;HONG-KONG;HK;22.39643;114.10950;1
Sanofi-Aventis;IRLANDE;IE;53.41291;-8.24389;3
Sanofi-Aventis;PAYS-BAS;NL;52.13263;5.29127;2
Sanofi-Aventis;ROYAUME-UNI;GB;55.37805;-3.43597;7
Sanofi-Aventis;SINGAPOUR;SG;1.35208;103.81984;2
Sanofi-Aventis;SUISSE;CH;46.81819;8.22751;3
Schneider;BAHREIN;BH;26.4;50.33;1
Schneider;BERMUDES;BM;32.30780;-64.75050;2
Schneider;COSTA-RICA;CR;9.74892;-83.75343;1
Schneider;HONG-KONG;HK;22.39643;114.10950;24
Schneider;ILES-VIERGES-BRITANNIQUES;VG;18.42069;-64.63997;2
Schneider;IRLANDE;IE;53.41291;-8.24389;8
Schneider;LUXEMBOURG;LU;49.81527;6.12958;3
Schneider;PAYS-BAS;NL;52.13263;5.29127;15
Schneider;ROYAUME-UNI;GB;55.37805;-3.43597;43
Schneider;SINGAPOUR;SG;1.35208;103.81984;22
Societe-Generale;CHYPRE;CY;35.12641;33.42986;1
Societe-Generale;HONG-KONG;HK;22.39643;114.10950;3
Societe-Generale;ILES-CAIMAN;KY;19.31330;-81.25460;5
Societe-Generale;IRLANDE;IE;53.41291;-8.24389;7
Societe-Generale;JERSEY;JE;49.21444;-2.13125;3
Societe-Generale;MONACO;MC;43.73842;7.42462;1
Societe-Generale;PAYS-BAS;NL;52.13263;5.29127;7
Societe-Generale;ROYAUME-UNI;GB;55.37805;-3.43597;15
Societe-Generale;SINGAPOUR;SG;1.35208;103.81984;3
Societe-Generale;SUISSE;CH;46.81819;8.22751;2
Suez-Environnement;MACAO;MO;22.19874;113.54387;1
Suez-Environnement;ROYAUME-UNI;GB;55.37805;-3.43597;3
Unibail;PAYS-BAS;NL;52.13263;5.29127;31
Vallourec;HONG-KONG;HK;22.39643;114.10950;1
Vallourec;JERSEY;JE;49.21444;-2.13125;1
Vallourec;PAYS-BAS;NL;52.13263;5.29127;1
Vallourec;ROYAUME-UNI;GB;55.37805;-3.43597;1
Vallourec;SINGAPOUR;SG;1.35208;103.81984;1
Veolia;HONG-KONG;HK;22.39643;114.10950;1
Veolia;OMAN;OM;21.51258;55.92325;1
Veolia;ROYAUME-UNI;GB;55.37805;-3.43597;4
Veolia;SINGAPOUR;SG;1.35208;103.81984;2
Vivendi;PAYS-BAS;NL;52.13263;5.29127;3
Vivendi;ROYAUME-UNI;GB;55.37805;-3.43597;1
